Date,Open,High,Low,Close,Volume
2015-01-28,95.1501,95.2548,93.1385,93.1579,46345287
2015-01-29,93.0804,94.2227,92.2691,94.0501,50371992
2015-01-30,93.9707,94.6873,93.1944,93.3255,46503466
2015-02-02,93.5324,94.2129,92.0777,94.1256,47242827
2015-02-03,94.4785,95.1109,93.8588,95.0453,33308485
2015-02-04,94.6491,95.5941,94.4412,94.955,36896502
2015-02-05,95.2059,95.842,94.955,95.7833,25563574
2015-02-06,95.9206,96.152,94.851,95.2059,37015951
2015-02-09,94.8216,95.3607,94.659,94.8883,24482889
2015-02-10,95.4283,96.5017,95.2843,96.3616,25655624
2015-02-11,96.4822,96.947,96.2842,96.7254,21940092
2015-02-12,97.3361,97.8645,97.2107,97.8254,24390165
2015-02-13,98.1194,98.7169,97.9233,98.6973,31445921
2015-02-17,98.6973,98.855,98.4427,98.7859,19144600
2015-02-18,98.6675,98.9827,98.541,98.9333,16391482
2015-02-19,98.865,99.4622,98.8354,99.3937,21471910
2015-02-20,99.3347,100.109,99.0312,100.05,30696080
2015-02-23,100.001,100.189,99.7862,100.159,19348280
2015-02-24,100.031,100.364,99.7273,100.239,21375995
2015-02-25,100.08,100.471,99.7663,99.981,21091793
2015-02-26,100.08,100.551,99.8151,100.491,24086097
2015-02-27,100.451,100.521,99.8931,100.041,30062647
2015-03-02,100.249,101.013,100.229,100.973,24904081
2015-03-03,100.666,100.766,99.8541,100.481,22521095
2015-03-04,100.149,100.305,99.5506,100.09,22757800
2015-03-05,100.364,100.571,99.8641,100.277,16662591
2015-03-06,100.139,100.344,98.9134,99.1496,33572509
2015-03-09,99.3447,99.668,98.953,99.4236,28423257
2015-03-10,98.7366,98.7564,97.5801,97.5801,37086914
2015-03-11,97.6782,97.8351,96.9959,97.0352,27581081
2015-03-12,96.9568,97.7566,96.898,97.3162,23268197
2015-03-13,97.5998,97.9429,96.6273,97.2486,45522426
2015-03-16,97.5901,98.541,97.4801,98.5018,27813238
2015-03-17,98.2175,98.8154,97.9819,98.6577,21237249
2015-03-18,98.3835,100.05,97.8545,99.6093,44006861
2015-03-19,99.7074,100.031,99.5606,99.7563,33923181
2015-03-20,100.581,100.915,100.394,100.412,23879539
2015-03-23,100.354,100.628,100.169,100.209,18664428
2015-03-24,100.199,100.666,99.835,99.8541,24259594
2015-03-25,100.001,100.09,97.5193,97.5605,44942705
2015-03-26,96.7744,97.7761,96.4391,97.2486,51713928
